,user_id,count,world,user_condition
0,0182E66157C177EF,11.0,16,4.0
1,023E3456C906203C,1.0,4,1.0
2,027FCAA6A5AAA370,2.0,15,4.0
3,02EE22AA979F79B5,7.0,13,4.0
4,0453A1A1AFE7CD93,8.0,15,4.0
5,04CB4FCA6D80693F,4.0,14,4.0
6,05AAC859308FF51C,8.0,11,3.0
7,0608611634A5CC03,2.0,16,4.0
8,062D73BCBFF878D1,3.0,15,4.0
9,067DD832326673A8,3.0,6,2.0
10,06B828D1EC9EADA5,1.0,4,1.0
11,0802201DCE5E41CB,2.0,4,1.0
12,0842ACBBA9DC69FE,1.0,6,2.0
13,0893930B6664A1FE,10.0,6,2.0
14,08E388DEB528E715,8.0,9,3.0
15,091FB9BDCF2BC04B,10.0,13,4.0
16,0ACCD069381207C8,10.0,15,4.0
17,0AEC8C709346AC2E,3.0,16,4.0
18,0B4DCDE48D737CF4,10.0,15,4.0
19,0B9FC7005A282A60,1.0,16,4.0
20,0BAAA23E596B8918,1.0,4,1.0
21,0C48D774B5A52096,2.0,13,4.0
22,0CD52BB01EF86FB0,1.0,8,2.0
23,0CDFB22BC48248B4,2.0,3,1.0
24,0DDDC7B5B0E290C2,6.0,16,4.0
25,0F606364A32F0553,8.0,13,4.0
26,0FA4434F931B4D87,1.0,3,1.0
27,0FAD2E8F2CF8F3B5,3.0,15,4.0
28,0FDEBAAFCB740522,5.0,12,3.0
29,10392D8CEBE6761C,2.0,5,2.0
30,1070412382F09F72,1.0,16,4.0
31,112220217404845B,2.0,9,3.0
32,11C1BE909CD20753,1.0,1,1.0
33,12CC1632A8A38ADC,10.0,13,4.0
34,12D626159BF51C6E,2.0,13,4.0
35,12F9D48651E0D18A,1.0,12,3.0
36,13AC075B31468E1B,1.0,8,2.0
37,13CDB17E321708A3,10.0,12,3.0
38,13F4283FF25C199A,7.0,7,2.0
39,150938C965E4CA52,7.0,16,4.0
40,153BA9C9A0427701,4.0,9,3.0
41,15F42B2B35527F9E,6.0,7,2.0
42,188EF87BEECB3312,3.0,2,1.0
43,18BA3A36B3FC956C,1.0,12,3.0
44,18BC76D0D91496B3,1.0,4,1.0
45,18C28DC400A23D1C,3.0,12,3.0
46,1913E23CE6391DE0,2.0,13,4.0
47,191F06DDD225066A,10.0,2,1.0
48,19288ED74445CEF2,12.0,11,3.0
49,19FC42FA147EDAB4,3.0,14,4.0
50,1A7BDCB27784CA6E,1.0,3,1.0
51,1C0E8C1118880EC4,1.0,9,3.0
52,1C81CCBC787FFC5D,2.0,3,1.0
53,1CC7D1DF11878C36,1.0,3,1.0
54,1D28A1FA00CA816E,2.0,7,2.0
55,1D4216333CE8D4A7,5.0,5,2.0
56,1DD92EB6194EE451,9.0,15,4.0
57,1E31AB0420681F05,9.0,15,4.0
58,1EB1D5B6E20AD2AA,6.0,3,1.0
59,1F143FA5837E8D8E,10.0,8,2.0
60,1F2C27CA4C0CB28D,4.0,12,3.0
61,1F481663D6637C6C,4.0,8,2.0
62,1F621B471476D26F,2.0,16,4.0
63,1FD1CC1002866B44,2.0,3,1.0
64,20CD9AD0FE55D90A,4.0,6,2.0
65,212C561E48C5C07D,10.0,13,4.0
66,2144B09DDF8F4E02,6.0,10,3.0
67,21AABD66E4AAE8D6,1.0,10,3.0
68,21B04DDC500215C1,1.0,9,3.0
69,21FB41F7D8F3B596,1.0,10,3.0
70,21FF81B2A25B1FA4,1.0,1,1.0
71,2399397EEF306A29,1.0,2,1.0
72,23C703A15732207E,2.0,2,1.0
73,24AEF74CD2E163FE,1.0,12,3.0
74,2511F7EC42380029,10.0,16,4.0
75,251FF1CD6C033C8D,10.0,11,3.0
76,253EF0DFC85F6254,4.0,12,3.0
77,25BAA55A49B10C27,4.0,6,2.0
78,25FA97A22F1D9E06,1.0,13,4.0
79,26218B79FE61E788,14.0,13,4.0
80,27777210C445DB48,5.0,8,2.0
81,278AF17243B39268,1.0,1,1.0
82,27A5403BF4AED4E9,3.0,15,4.0
83,287C2003212416BC,4.0,7,2.0
84,2956E4669192E8E1,7.0,12,3.0
85,295E304919EC21B8,1.0,10,3.0
86,29FF645521AB5066,3.0,8,2.0
87,2A12094276EE0203,3.0,11,3.0
88,2A293DC6530C7B88,10.0,13,4.0
89,2AD55A58A7BD2F94,1.0,5,2.0
90,2B70249621BA7A9B,10.0,9,3.0
91,2C154EF82B570E99,3.0,16,4.0
92,2D02A2AC8D0ED355,2.0,14,4.0
93,2E0E7D8CA8406E83,6.0,12,3.0
94,2E1707A04036A161,1.0,5,2.0
95,2E69B59AFEBA87AF,7.0,16,4.0
96,2F74685E2E24E715,10.0,13,4.0
97,2FF96C326DA3DCD8,10.0,9,3.0
98,30CFA1D957AB3217,2.0,7,2.0
99,30E86B658507C453,3.0,11,3.0
100,3110A9177F3D7F61,2.0,1,1.0
101,31AAA8D0D7556668,10.0,16,4.0
102,327996B0B37E67F4,3.0,15,4.0
103,33220A20B4C2559E,1.0,4,1.0
104,33369B2DD9498C05,1.0,2,1.0
105,3430124849EBC089,3.0,3,1.0
106,3431188C160E5EDE,10.0,12,3.0
107,3565B69B3BA56957,1.0,2,1.0
108,35A1E949A69A46DB,2.0,16,4.0
109,36D568190718AF92,1.0,1,1.0
110,3749813C8013D1AA,1.0,6,2.0
111,37B22837EDA991CD,4.0,14,4.0
112,37EDE161D9E2E69F,2.0,12,3.0
113,38250761C340FF95,5.0,6,2.0
114,38360F0E8AFA9206,6.0,13,4.0
115,384AC5AEF2A04669,1.0,4,1.0
116,393E19D1FBC86DE5,9.0,11,3.0
117,397FD1990C511122,10.0,15,4.0
118,3993C87A2FF28955,5.0,12,3.0
119,3A140230A2431356,10.0,10,3.0
120,3ACE3AEDFBA61273,9.0,6,2.0
121,3ADA315D7D81EB21,1.0,14,4.0
122,3B31D977C4CF2B73,3.0,7,2.0
123,3BA8DC4BD126D661,2.0,2,1.0
124,3BD7C6F444670B97,10.0,3,1.0
125,3C1A5F015A591042,2.0,9,3.0
126,3C2A43F61AF1987A,1.0,15,4.0
127,3D0186D0D1934AD8,2.0,7,2.0
128,3D57117489B736DE,3.0,12,3.0
129,3D66E5CB24A03E9C,3.0,12,3.0
130,3DBFA190BC52D8F2,1.0,10,3.0
131,3E00D61D4FA78C81,5.0,1,1.0
132,3F5F17903D406FDE,1.0,1,1.0
133,3F967806D6666898,6.0,10,3.0
134,40105DB4940C03DA,2.0,2,1.0
135,401D828E192F6116,9.0,12,3.0
136,4098BCEF2D86E4F1,4.0,5,2.0
137,42C80472FAEABA8D,10.0,16,4.0
138,431A657E32E56769,2.0,12,3.0
139,431B2F4FF9E96C39,10.0,5,2.0
140,43CC6A4B13A98AF9,8.0,9,3.0
141,441F117EC63269A0,1.0,2,1.0
142,44994ECDFBF231E0,2.0,14,4.0
143,450E5FD07F3F2E5F,10.0,15,4.0
144,456A70C36DC1C4E0,1.0,4,1.0
145,4594539D2BB8FD59,10.0,12,3.0
146,45B56471A8A2DE3B,2.0,5,2.0
147,45CEF022C990C30C,3.0,12,3.0
148,45E4B02D8C138421,1.0,2,1.0
149,465C4E485C619DC0,4.0,6,2.0
150,472F4CFEBAC80EBD,7.0,9,3.0
151,4757E2063902C4B8,1.0,5,2.0
152,48175F1C4C6801D7,3.0,11,3.0
153,482A628605A1A9DB,2.0,13,4.0
154,488800FC0278006E,1.0,10,3.0
155,490E65003B5A1E9E,4.0,8,2.0
156,496D72848C1FFD1E,3.0,14,4.0
157,49B7E88849FA463F,9.0,14,4.0
158,4A90BD1138D45D04,3.0,13,4.0
159,4B13104A102BBE91,1.0,11,3.0
160,4B2556533581CBB8,4.0,6,2.0
161,4B8FD83A05FE989F,3.0,1,1.0
162,4BAD99365AA7F037,2.0,6,2.0
163,4C6F051344257AFE,10.0,11,3.0
164,4D74F97FC6119151,10.0,16,4.0
165,4EE6334C6519645F,2.0,11,3.0
166,50918B016D97E7FE,1.0,5,2.0
167,509241C36307EC26,10.0,11,3.0
168,50C377A103D7B4F1,1.0,9,3.0
169,52285C6AF204232B,1.0,14,4.0
170,529716C1274688AB,10.0,3,1.0
171,52A561F3E0996BBB,1.0,2,1.0
172,52C3F854E5ABE0A9,10.0,13,4.0
173,53ACF54AF90C6F47,10.0,9,3.0
174,53E61350BFDCB131,11.0,9,3.0
175,54A67A9CEF1DF5E0,2.0,9,3.0
176,54C6EBCFB96D9A1E,1.0,5,2.0
177,54D90477E0CE0FCB,4.0,10,3.0
178,56A1EAE3692BCA90,2.0,6,2.0
179,5767637A481FEC16,4.0,10,3.0
180,576A80B9F27D7935,1.0,10,3.0
181,577FF2847F94EF85,1.0,3,1.0
182,5795960AB06711CB,1.0,8,2.0
183,57B78472BA08EB0B,10.0,11,3.0
184,581E4CDCB0490307,2.0,16,4.0
185,58923AFEBCF78C43,1.0,11,3.0
186,58C8C2BD5B6E5C00,7.0,7,2.0
187,58E02CD5A0E8E0E8,9.0,5,2.0
188,5910977705A1145A,1.0,13,4.0
189,59442A7D4AC2B451,1.0,16,4.0
190,59561D8D449C7621,1.0,2,1.0
191,597AFA96104F0E8C,4.0,5,2.0
192,5A08A8E3E48F37C9,2.0,15,4.0
193,5A1BF23DE3FDC508,1.0,3,1.0
194,5BB2280B0A4D759E,2.0,15,4.0
195,5CC92383D8B7C218,9.0,1,1.0
196,5CEF9079FC9A8264,10.0,2,1.0
197,5D9EE3A47EDB822A,2.0,15,4.0
198,5DA490C207D947C0,9.0,1,1.0
199,5DAA833EE8C8F005,10.0,7,2.0
200,5DD9A771AA7899F7,3.0,4,1.0
201,5DDAD6CBB4FF191B,2.0,16,4.0
202,5E08EE0E3821AC8D,1.0,15,4.0
203,5E71604AF79C65AC,2.0,12,3.0
204,5E8B3055757576D5,2.0,3,1.0
205,5EA4D1A3E99DD4A2,10.0,12,3.0
206,5F2AF45ADAC813AB,10.0,6,2.0
207,5FA59FFE8F87CB8C,10.0,15,4.0
208,601A52CFD8832FAB,3.0,15,4.0
209,612328D10A49B2D9,10.0,8,2.0
210,612AAAA9A4A0EAC9,10.0,6,2.0
211,612B07EC3194D75E,4.0,7,2.0
212,61341126CC591A88,1.0,2,1.0
213,613D5B9F5F72FDD6,10.0,16,4.0
214,626E11ACFA758060,4.0,8,2.0
215,6324E8EC2421EA64,1.0,1,1.0
216,63388B821B3C7D8B,1.0,1,1.0
217,639AB8CF04BE4C67,8.0,14,4.0
218,6404A24B66684D5E,2.0,1,1.0
219,6445474E24B15AD2,1.0,5,2.0
220,6454141DF449B1C1,4.0,7,2.0
221,6461735EF480C701,4.0,7,2.0
222,64643514E71E6D7A,1.0,7,2.0
223,64FB63156B3AEC1A,5.0,15,4.0
224,653249E6FFBE51CF,6.0,8,2.0
225,65345BA349C2FB91,1.0,13,4.0
226,6573605BA5A00C91,10.0,15,4.0
227,65C14676D314FFD1,11.0,10,3.0
228,66071FAB9A14F528,2.0,14,4.0
229,66885BAA3F0FADBE,6.0,10,3.0
230,66AE550A57BC2F5C,4.0,9,3.0
231,66B667301D4A8A04,1.0,8,2.0
232,66FB200B9B51D257,8.0,13,4.0
233,6871FA45DE657D1E,1.0,11,3.0
234,68DF0675E0951C58,6.0,1,1.0
235,694B731DF3C1C83D,1.0,4,1.0
236,69AF63B2391BD40F,10.0,13,4.0
237,69E282598C314903,1.0,1,1.0
238,6A13973C3AE3370C,2.0,5,2.0
239,6AB57DD5AE7812FD,3.0,9,3.0
240,6B7B10B27E18CF2F,10.0,6,2.0
241,6BDC6FFECA4B944B,1.0,16,4.0
242,6C09F89AA91EDFC3,2.0,7,2.0
243,6CD4BC6ED2635FD0,2.0,9,3.0
244,6CF45C74F13D74AB,4.0,13,4.0
245,6D1D54716185FF25,1.0,16,4.0
246,6D87105EE089676B,3.0,12,3.0
247,6DC6F35D1DC53AC1,5.0,3,1.0
248,6F2FE1A4157B85DB,1.0,15,4.0
249,6F4F990436DDCD5A,8.0,15,4.0
250,6F7C6DAD7DD576D9,2.0,9,3.0
251,7111509EBEDC062F,10.0,13,4.0
252,713710B14135D6AD,10.0,3,1.0
253,72241FC0BD932135,3.0,2,1.0
254,72B8E7E0327A113F,11.0,12,3.0
255,7365F019C32D038A,6.0,1,1.0
256,755ADB0267071CDC,1.0,11,3.0
257,75D4DCA8458738CF,1.0,1,1.0
258,76964EEB9B752F01,3.0,10,3.0
259,7762E123DF9E7763,10.0,15,4.0
260,77BE9D24B43062D0,5.0,13,4.0
261,77CB46901D3654CF,3.0,16,4.0
262,781C74B116737F8F,4.0,15,4.0
263,785255E104F2024A,1.0,11,3.0
264,785B161A42A2FED6,4.0,15,4.0
265,78ABC592EA731C43,1.0,5,2.0
266,79719F4B80C92CA3,5.0,12,3.0
267,7A1CE34F344FB136,10.0,8,2.0
268,7A81A66D40A13E6D,2.0,12,3.0
269,7AD32C902FFD0DC4,1.0,11,3.0
270,7B5875F0DDC71018,1.0,1,1.0
271,7B9C4587234840A7,2.0,8,2.0
272,7BCE7CC4EFB58D25,10.0,12,3.0
273,7BF47E25F2DB153A,6.0,1,1.0
274,7CCA7C2CFDF24216,10.0,15,4.0
275,7D108F7ED8D9B544,10.0,4,1.0
276,7D54580566BC2513,5.0,10,3.0
277,7D7419539F7A5AC8,1.0,3,1.0
278,7E7F774F5954D6EA,1.0,4,1.0
279,7E8D23A60EB86F82,1.0,9,3.0
280,7EB3A1C87704D9EB,1.0,9,3.0
281,7F3EA35B5031BD71,1.0,8,2.0
282,7F3FA2B66FA35295,6.0,16,4.0
283,7F60345F729C92DC,5.0,7,2.0
284,80144400F48D22E9,2.0,5,2.0
285,8026620101466964,2.0,8,2.0
286,8103C560684DB3A1,4.0,6,2.0
287,81F578BA34F14E66,7.0,4,1.0
288,82D7FA43E644E78F,6.0,12,3.0
289,8373604264855AEA,2.0,16,4.0
290,83862668C3B1B897,1.0,3,1.0
291,848407994E7832AD,11.0,16,4.0
292,84AFC3779C6D5CF0,1.0,15,4.0
293,85DF2B2ADA61633B,2.0,5,2.0
294,85F8B7B92FB88F81,1.0,5,2.0
295,86C71E36F57F9554,1.0,16,4.0
296,87607C787D4059BF,10.0,9,3.0
297,87D6783F6E8F6AB2,1.0,8,2.0
298,887032A67AE5B3F6,1.0,7,2.0
299,88C4297316034F58,10.0,15,4.0
300,88F136FD0CE9F165,9.0,6,2.0
301,89E4600D32DF6650,6.0,3,1.0
302,8A3F5E059EB16720,1.0,6,2.0
303,8A7F5CB48ECF2919,2.0,5,2.0
304,8ABF2DCEAE4FA0D7,1.0,2,1.0
305,8AF8996CE538DD16,3.0,3,1.0
306,8B454E50F8C82F95,10.0,9,3.0
307,8B782CD568C981A7,1.0,8,2.0
308,8BC665D77944A689,1.0,12,3.0
309,8CCFC5CB8924A156,2.0,16,4.0
310,8D2D261939C3DC7E,5.0,15,4.0
311,8D322D8FB37F93CA,2.0,13,4.0
312,8D8601412B8DF8D7,3.0,1,1.0
313,8DC9E5C5ED40A250,10.0,16,4.0
314,8FBE5AAD3CF3618B,7.0,9,3.0
315,902C4B23608396E0,3.0,2,1.0
316,90F69F3DE013B99B,2.0,14,4.0
317,914066681CBFA2EA,1.0,7,2.0
318,91DB6D6DC819A9EA,2.0,1,1.0
319,9216F342BED2242C,2.0,15,4.0
320,930380A2B2931F60,2.0,15,4.0
321,9345A18B4F3E0BF2,3.0,14,4.0
322,945BE8D25839C4AD,6.0,15,4.0
323,94829EA1912907D6,1.0,4,1.0
324,94A38551E4B3CD06,6.0,4,1.0
325,958E8421C6552B14,3.0,16,4.0
326,9626D728C799FADD,5.0,9,3.0
327,9630DBB54D4948C3,7.0,13,4.0
328,9664ECF01A787D47,4.0,13,4.0
329,96B1A60D0D600D46,2.0,10,3.0
330,9729FA36E68238AB,11.0,7,2.0
331,982CA0ABAED454C4,1.0,5,2.0
332,98CB3619379FC40F,4.0,3,1.0
333,99035BDF12F8BE9C,1.0,1,1.0
334,9B2FA4AC4FA47E06,1.0,1,1.0
335,9BF29A85CA67AF78,1.0,7,2.0
336,9CAC4480539C5A05,4.0,4,1.0
337,9CB21C693CCF3BCE,1.0,11,3.0
338,9CD42F7BD0946998,4.0,2,1.0
339,9E0761637191C311,1.0,12,3.0
340,9E2D131D7067347F,10.0,12,3.0
341,9E9B509396669587,3.0,2,1.0
342,9ECE6114F661704E,9.0,9,3.0
343,9FB2B663048C075B,1.0,10,3.0
344,A05BE41E8A82C361,2.0,8,2.0
345,A14F15D8176CDE55,5.0,15,4.0
346,A1C3F56B8856A95B,1.0,9,3.0
347,A24E08145B380658,2.0,12,3.0
348,A34A4FEC141501B5,1.0,11,3.0
349,A35FB9D704055752,6.0,9,3.0
350,A365E9EE57590293,5.0,14,4.0
351,A3C33822791CC02E,10.0,8,2.0
352,A3D5AEB6FCDA792D,6.0,2,1.0
353,A3E3736105A55C71,6.0,13,4.0
354,A571975B18E4EAF9,2.0,9,3.0
355,A5FAE506C785E2AA,5.0,4,1.0
356,A68B10EC32966973,10.0,12,3.0
357,A69FE435D77BA17B,11.0,13,4.0
